prompt,context,gender,age,occupation,target_mid,target_title
"User profile (audit only):
- gender: M
- age: 35-44
- occupation: customer service

Watch history:
1. Man Who Loved Women VHS
2. Ice Castles VHS
3. Jeremy VHS
4. Do You Believe?
5. Haunting of Seacliff Inn VHS
6. Vanishing Point VHS
7. Night Tide
8. Carnival of Souls
9. Ulysses VHS
10. She Creature

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Man Who Loved Women VHS
2. Ice Castles VHS
3. Jeremy VHS
4. Do You Believe?
5. Haunting of Seacliff Inn VHS
6. Vanishing Point VHS
7. Night Tide
8. Carnival of Souls
9. Ulysses VHS
10. She Creature",M,35-44,customer service,B004A8ZWVU,The Help
"User profile (audit only):
- gender: M
- age: 55-64
- occupation: customer service

Watch history:
1. Down with Love
2. Rabbit-Proof Fence
3. City of God
4. Love Stinks
5. Dirty Pretty Things
6. Family Plot VHS
7. About a Boy
8. Guess Who - Running Back Thru Canada
9. Diary of a Mad Black Woman
10. Beyond Borders

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Down with Love
2. Rabbit-Proof Fence
3. City of God
4. Love Stinks
5. Dirty Pretty Things
6. Family Plot VHS
7. About a Boy
8. Guess Who - Running Back Thru Canada
9. Diary of a Mad Black Woman
10. Beyond Borders",M,55-64,customer service,B0018C23OK,Desperate Measures
"User profile (audit only):
- gender: F
- age: 55-64
- occupation: sales/marketing

Watch history:
1. Lucy
2. Lucy
3. How to Train Your Dragon 2
4. Lucky Number Slevin
5. Fortress
6. The Prince Digital
7. Experiencing Hubble: Understanding the Greatest Images of the Universe
8. Jeeves &amp; Wooster Complete Collection
9. Doctor Thorne - Season 1 2015
10. Whitechapel: Season 2

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Lucy
2. Lucy
3. How to Train Your Dragon 2
4. Lucky Number Slevin
5. Fortress
6. The Prince Digital
7. Experiencing Hubble: Understanding the Greatest Images of the Universe
8. Jeeves &amp; Wooster Complete Collection
9. Doctor Thorne - Season 1 2015
10. Whitechapel: Season 2",F,55-64,sales/marketing,B00WS8R2M6,"Masterpiece Classic: Downton Abbey - Seasons 1-5 Complete Collections (DVD, 15-Disc, 2015)"
"User profile (audit only):
- gender: F
- age: 35-44
- occupation: lawyer

Watch history:
1. November Man
2. Into the Storm 2014  Region Free
3. The Equalizer
4. Life of Crime
5. Automata
6. A Walk Among the Tombstones
7. John Wick
8. Strike Back: Season 2
9. Blackhat
10. San Andreas Bilingual

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. November Man
2. Into the Storm 2014  Region Free
3. The Equalizer
4. Life of Crime
5. Automata
6. A Walk Among the Tombstones
7. John Wick
8. Strike Back: Season 2
9. Blackhat
10. San Andreas Bilingual",F,35-44,lawyer,630223722X,Redbook Ultra Stretch VHS
"User profile (audit only):
- gender: F
- age: 45-54
- occupation: lawyer

Watch history:
1. The House with 100 Eyes
2. Time Lapse
3. Final Prayer Digital
4. The Samurai
5. The Last Knights Digital
6. Der Todesking (The Death King)
7. Unwanted
8. Yu-Gi-Oh Gx: Season 2
9. Horsehead
10. Kung Fu Killer

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. The House with 100 Eyes
2. Time Lapse
3. Final Prayer Digital
4. The Samurai
5. The Last Knights Digital
6. Der Todesking (The Death King)
7. Unwanted
8. Yu-Gi-Oh Gx: Season 2
9. Horsehead
10. Kung Fu Killer",F,45-54,lawyer,B0085X315U,Color Out Of Space
"User profile (audit only):
- gender: F
- age: 35-44
- occupation: lawyer

Watch history:
1. Tyler Perry's Madea Gets A Job Play
2. Mary Poppins (Fully Restored Limited Edition) (Walt Disney's Masterpiece) (Walt Disney Masterpiece Collection)
3. Earth to Echo
4. Mr. Mom VHS
5. Slumdog Millionaire
6. John Wick
7. Raiders! The Story of the Greatest Fan Film Ever Made
8. Men at Work VHS
9. Men at Work
10. The Lost and Found Family

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Tyler Perry's Madea Gets A Job Play
2. Mary Poppins (Fully Restored Limited Edition) (Walt Disney's Masterpiece) (Walt Disney Masterpiece Collection)
3. Earth to Echo
4. Mr. Mom VHS
5. Slumdog Millionaire
6. John Wick
7. Raiders! The Story of the Greatest Fan Film Ever Made
8. Men at Work VHS
9. Men at Work
10. The Lost and Found Family",F,35-44,lawyer,B008M0PBMM,Dirk Gently: Series 1 [Region 2]
"User profile (audit only):
- gender: F
- age: 55-64
- occupation: artist

Watch history:
1. Rain codeblack
2. New York, I Love You
3. Turn it Up
4. Johnny Was
5. Illegal Tender
6. Illegal Tender
7. American Me
8. She's Gotta Have It VHS
9. Bamboozled VHS
10. Words by  Heart

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Rain codeblack
2. New York, I Love You
3. Turn it Up
4. Johnny Was
5. Illegal Tender
6. Illegal Tender
7. American Me
8. She's Gotta Have It VHS
9. Bamboozled VHS
10. Words by  Heart",F,55-64,artist,B00RI4VBUO,"Two Men in Town ( 2 Men in Town ) (+ Digital Copy) [ Blu-Ray, Reg.A/B/C Import - Sweden ]"
"User profile (audit only):
- gender: F
- age: 35-44
- occupation: programmer

Watch history:
1. Dinosaur Region 2
2. Harry Potter and the Half-Blood Prince
3. Harry Potter and the Half-Blood Prince
4. Harry Potter and the Deathly Hallows, Part 1 [Blu-ray]
5. Orphan Black: Season 2
6. Arrow - Season 3 2015
7. Boardwalk Empire: Season 5
8. Walking Dead, The Ssn 5
9. Man from U.N.C.L.E., The (BD)
10. Last Kingdom, The

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Dinosaur Region 2
2. Harry Potter and the Half-Blood Prince
3. Harry Potter and the Half-Blood Prince
4. Harry Potter and the Deathly Hallows, Part 1 [Blu-ray]
5. Orphan Black: Season 2
6. Arrow - Season 3 2015
7. Boardwalk Empire: Season 5
8. Walking Dead, The Ssn 5
9. Man from U.N.C.L.E., The (BD)
10. Last Kingdom, The",F,35-44,programmer,B014HDTT84,Bone Tomahawk
"User profile (audit only):
- gender: F
- age: 35-44
- occupation: artist

Watch history:
1. The Last of the Mohicans
2. Horton Hears a Who! (Two-Disc Special Edition)
3. Taken
4. Cowboys &amp; Aliens
5. Taken - Single-Disc Extended Cut
6. Band of Brothers(Elite SC/BD+DCExp12-21)
7. The Egg and I The Ma &amp; Pa Kettle Collection  VHS
8. Green Acres: Season 1
9. McHale's Navy - Season One
10. Dances with Wolves (VHS 8768)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. The Last of the Mohicans
2. Horton Hears a Who! (Two-Disc Special Edition)
3. Taken
4. Cowboys &amp; Aliens
5. Taken - Single-Disc Extended Cut
6. Band of Brothers(Elite SC/BD+DCExp12-21)
7. The Egg and I The Ma &amp; Pa Kettle Collection  VHS
8. Green Acres: Season 1
9. McHale's Navy - Season One
10. Dances with Wolves (VHS 8768)",F,35-44,artist,B0002WYTWG,"Terminator, The"
"User profile (audit only):
- gender: F
- age: 35-44
- occupation: college/grad student

Watch history:
1. Castaway on the Moon (Standard Edition) DVD
2. Today's Special
3. Buddy
4. Little Voice
5. Stephen Fry in America Region 2
6. Skin [Region 2]
7. Dive!: Living off America's Waste
8. Being Elmo: A Puppeteer's Journey
9. Pu-239
10. Pu-239

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Castaway on the Moon (Standard Edition) DVD
2. Today's Special
3. Buddy
4. Little Voice
5. Stephen Fry in America Region 2
6. Skin [Region 2]
7. Dive!: Living off America's Waste
8. Being Elmo: A Puppeteer's Journey
9. Pu-239
10. Pu-239",F,35-44,college/grad student,B004TWP6YA,Adrift (2009)
