prompt,context,gender,age,occupation,target_mid,target_title
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: unemployed

Watch history:
1. Breaking Away (1979)
2. Apocalypse Now (1979)
3. Blood Simple (1984)
4. Pulp Fiction (1994)
5. Ran (1985)
6. This Is Spinal Tap (1984)
7. Nights of Cabiria (Le Notti di Cabiria) (1957)
8. Taxi Driver (1976)
9. Platoon (1986)
10. Usual Suspects, The (1995)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Breaking Away (1979)
2. Apocalypse Now (1979)
3. Blood Simple (1984)
4. Pulp Fiction (1994)
5. Ran (1985)
6. This Is Spinal Tap (1984)
7. Nights of Cabiria (Le Notti di Cabiria) (1957)
8. Taxi Driver (1976)
9. Platoon (1986)
10. Usual Suspects, The (1995)",M,25-34,unemployed,1252,Chinatown (1974)
"User profile (audit only):
- gender: F
- age: 25-34
- occupation: other

Watch history:
1. Yellow Submarine (1968)
2. Sound of Music, The (1965)
3. Against All Odds (1984)
4. Blade Runner (1982)
5. Platoon (1986)
6. Gandhi (1982)
7. Aliens (1986)
8. Right Stuff, The (1983)
9. Witness (1985)
10. Mad Max 2 (a.k.a. The Road Warrior) (1981)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Yellow Submarine (1968)
2. Sound of Music, The (1965)
3. Against All Odds (1984)
4. Blade Runner (1982)
5. Platoon (1986)
6. Gandhi (1982)
7. Aliens (1986)
8. Right Stuff, The (1983)
9. Witness (1985)
10. Mad Max 2 (a.k.a. The Road Warrior) (1981)",F,25-34,other,1097,E.T. the Extra-Terrestrial (1982)
"User profile (audit only):
- gender: F
- age: 25-34
- occupation: executive/managerial

Watch history:
1. Star Trek VI: The Undiscovered Country (1991)
2. In the Heat of the Night (1967)
3. Shawshank Redemption, The (1994)
4. Casablanca (1942)
5. To Kill a Mockingbird (1962)
6. Usual Suspects, The (1995)
7. Great Escape, The (1963)
8. Seven Days in May (1964)
9. Citizen Kane (1941)
10. Tampopo (1986)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Star Trek VI: The Undiscovered Country (1991)
2. In the Heat of the Night (1967)
3. Shawshank Redemption, The (1994)
4. Casablanca (1942)
5. To Kill a Mockingbird (1962)
6. Usual Suspects, The (1995)
7. Great Escape, The (1963)
8. Seven Days in May (1964)
9. Citizen Kane (1941)
10. Tampopo (1986)",F,25-34,executive/managerial,720,Wallace & Gromit: The Best of Aardman Animation (1996)
"User profile (audit only):
- gender: M
- age: 35-44
- occupation: self-employed

Watch history:
1. Fly II, The (1989)
2. My Favorite Martian (1999)
3. Superman III (1983)
4. Demolition Man (1993)
5. Sphere (1998)
6. Plan 9 from Outer Space (1958)
7. Back to the Future Part III (1990)
8. Junior (1994)
9. Escape from L.A. (1996)
10. Escape from the Planet of the Apes (1971)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Fly II, The (1989)
2. My Favorite Martian (1999)
3. Superman III (1983)
4. Demolition Man (1993)
5. Sphere (1998)
6. Plan 9 from Outer Space (1958)
7. Back to the Future Part III (1990)
8. Junior (1994)
9. Escape from L.A. (1996)
10. Escape from the Planet of the Apes (1971)",M,35-44,self-employed,2428,"Faculty, The (1998)"
"User profile (audit only):
- gender: F
- age: 25-34
- occupation: artist

Watch history:
1. Corrina, Corrina (1994)
2. Grease (1978)
3. Pretty in Pink (1986)
4. Return to Me (2000)
5. Dirty Dancing (1987)
6. True Romance (1993)
7. Blast from the Past (1999)
8. Sommersby (1993)
9. Bram Stoker's Dracula (1992)
10. American President, The (1995)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Corrina, Corrina (1994)
2. Grease (1978)
3. Pretty in Pink (1986)
4. Return to Me (2000)
5. Dirty Dancing (1987)
6. True Romance (1993)
7. Blast from the Past (1999)
8. Sommersby (1993)
9. Bram Stoker's Dracula (1992)
10. American President, The (1995)",F,25-34,artist,1059,William Shakespeare's Romeo and Juliet (1996)
"User profile (audit only):
- gender: M
- age: 18-24
- occupation: self-employed

Watch history:
1. Godzilla (Gojira) (1954)
2. Lord of the Rings, The (1978)
3. Contact (1997)
4. Army of Darkness (1993)
5. Rocky Horror Picture Show, The (1975)
6. Star Trek: First Contact (1996)
7. Sneakers (1992)
8. Cocoon (1985)
9. Pi (1998)
10. Superman (1978)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Godzilla (Gojira) (1954)
2. Lord of the Rings, The (1978)
3. Contact (1997)
4. Army of Darkness (1993)
5. Rocky Horror Picture Show, The (1975)
6. Star Trek: First Contact (1996)
7. Sneakers (1992)
8. Cocoon (1985)
9. Pi (1998)
10. Superman (1978)",M,18-24,self-employed,2011,Back to the Future Part II (1989)
"User profile (audit only):
- gender: M
- age: 56+
- occupation: retired

Watch history:
1. Bull Durham (1988)
2. Who Framed Roger Rabbit? (1988)
3. Kramer Vs. Kramer (1979)
4. Sophie's Choice (1982)
5. Treasure of the Sierra Madre, The (1948)
6. Fanny and Alexander (1982)
7. Thin Man, The (1934)
8. Edward Scissorhands (1990)
9. Place in the Sun, A (1951)
10. Bronx Tale, A (1993)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Bull Durham (1988)
2. Who Framed Roger Rabbit? (1988)
3. Kramer Vs. Kramer (1979)
4. Sophie's Choice (1982)
5. Treasure of the Sierra Madre, The (1948)
6. Fanny and Alexander (1982)
7. Thin Man, The (1934)
8. Edward Scissorhands (1990)
9. Place in the Sun, A (1951)
10. Bronx Tale, A (1993)",M,56+,retired,2529,Planet of the Apes (1968)
"User profile (audit only):
- gender: M
- age: 56+
- occupation: retired

Watch history:
1. Animal House (1978)
2. Airplane! (1980)
3. Heathers (1989)
4. Nadine (1987)
5. M*A*S*H (1970)
6. Pleasantville (1998)
7. Roger & Me (1989)
8. Fish Called Wanda, A (1988)
9. Get Shorty (1995)
10. When Harry Met Sally... (1989)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Animal House (1978)
2. Airplane! (1980)
3. Heathers (1989)
4. Nadine (1987)
5. M*A*S*H (1970)
6. Pleasantville (1998)
7. Roger & Me (1989)
8. Fish Called Wanda, A (1988)
9. Get Shorty (1995)
10. When Harry Met Sally... (1989)",M,56+,retired,3361,Bull Durham (1988)
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: other

Watch history:
1. Sixth Sense, The (1999)
2. Lady Vanishes, The (1938)
3. Suspicion (1941)
4. Heavenly Creatures (1994)
5. Frenzy (1972)
6. Rope (1948)
7. Deliverance (1972)
8. Fatal Attraction (1987)
9. End of Violence, The (1997)
10. Primal Fear (1996)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Sixth Sense, The (1999)
2. Lady Vanishes, The (1938)
3. Suspicion (1941)
4. Heavenly Creatures (1994)
5. Frenzy (1972)
6. Rope (1948)
7. Deliverance (1972)
8. Fatal Attraction (1987)
9. End of Violence, The (1997)
10. Primal Fear (1996)",M,25-34,other,2181,Marnie (1964)
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: writer

Watch history:
1. Scream 3 (2000)
2. Gate, The (1987)
3. Creepshow 2 (1987)
4. Disturbing Behavior (1998)
5. Texas Chainsaw Massacre 2, The (1986)
6. Vampires (1998)
7. Halloween II (1981)
8. Gremlins 2: The New Batch (1990)
9. House on Haunted Hill, The (1999)
10. U-571 (2000)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Scream 3 (2000)
2. Gate, The (1987)
3. Creepshow 2 (1987)
4. Disturbing Behavior (1998)
5. Texas Chainsaw Massacre 2, The (1986)
6. Vampires (1998)
7. Halloween II (1981)
8. Gremlins 2: The New Batch (1990)
9. House on Haunted Hill, The (1999)
10. U-571 (2000)",M,25-34,writer,3160,Magnolia (1999)
